Date,Open,High,Low,Close,Volume
2024-01-15 09:00:00,155.320,155.345,155.310,155.335,1250
2024-01-15 09:01:00,155.335,155.360,155.330,155.355,980
2024-01-15 09:02:00,155.355,155.380,155.340,155.370,1100
2024-01-15 09:03:00,155.370,155.395,155.360,155.385,890
2024-01-15 09:04:00,155.385,155.410,155.375,155.400,1320
2024-01-15 09:05:00,155.400,155.425,155.390,155.415,1050
2024-01-15 09:06:00,155.415,155.450,155.410,155.445,1480
2024-01-15 09:07:00,155.445,155.470,155.430,155.460,1200
2024-01-15 09:08:00,155.460,155.480,155.445,155.455,750
2024-01-15 09:09:00,155.455,155.475,155.440,155.465,880
2024-01-15 09:10:00,155.465,155.490,155.455,155.480,1100
2024-01-15 09:11:00,155.480,155.500,155.465,155.490,960
2024-01-15 09:12:00,155.490,155.510,155.475,155.500,1050
2024-01-15 09:13:00,155.500,155.520,155.485,155.510,1200
2024-01-15 09:14:00,155.510,155.535,155.500,155.530,1350
2024-01-15 09:15:00,155.530,155.555,155.515,155.545,1420
2024-01-15 09:16:00,155.545,155.565,155.530,155.555,1100
2024-01-15 09:17:00,155.555,155.575,155.540,155.565,980
2024-01-15 09:18:00,155.565,155.585,155.550,155.575,870
2024-01-15 09:19:00,155.575,155.595,155.560,155.585,920
2024-01-15 09:20:00,155.585,155.600,155.570,155.590,800
2024-01-15 09:21:00,155.590,155.610,155.575,155.600,950
2024-01-15 09:22:00,155.600,155.625,155.590,155.615,1150
2024-01-15 09:23:00,155.615,155.640,155.605,155.630,1300
2024-01-15 09:24:00,155.630,155.655,155.620,155.645,1200
2024-01-15 09:25:00,155.645,155.665,155.630,155.650,1050
2024-01-15 09:26:00,155.650,155.660,155.625,155.635,900
2024-01-15 09:27:00,155.635,155.650,155.615,155.625,850
2024-01-15 09:28:00,155.625,155.645,155.605,155.615,780
2024-01-15 09:29:00,155.615,155.635,155.595,155.605,820
2024-01-15 09:30:00,155.605,155.620,155.580,155.590,950
2024-01-15 09:31:00,155.590,155.605,155.570,155.580,880
2024-01-15 09:32:00,155.580,155.595,155.555,155.565,920
2024-01-15 09:33:00,155.565,155.580,155.545,155.555,870
2024-01-15 09:34:00,155.555,155.570,155.530,155.540,940
2024-01-15 09:35:00,155.540,155.555,155.515,155.525,1050
2024-01-15 09:36:00,155.525,155.540,155.505,155.515,980
2024-01-15 09:37:00,155.515,155.530,155.495,155.505,900
2024-01-15 09:38:00,155.505,155.520,155.490,155.500,850
2024-01-15 09:39:00,155.500,155.520,155.490,155.510,920
2024-01-15 09:40:00,155.510,155.535,155.500,155.530,1100
2024-01-15 09:41:00,155.530,155.560,155.525,155.555,1350
2024-01-15 09:42:00,155.555,155.585,155.545,155.580,1500
2024-01-15 09:43:00,155.580,155.610,155.570,155.605,1650
2024-01-15 09:44:00,155.605,155.635,155.595,155.630,1800
2024-01-15 09:45:00,155.630,155.660,155.620,155.655,1950
2024-01-15 09:46:00,155.655,155.680,155.640,155.670,1700
2024-01-15 09:47:00,155.670,155.695,155.660,155.685,1550
2024-01-15 09:48:00,155.685,155.705,155.670,155.695,1400
2024-01-15 09:49:00,155.695,155.715,155.680,155.705,1250
2024-01-15 09:50:00,155.705,155.725,155.690,155.715,1100
2024-01-15 09:51:00,155.715,155.730,155.700,155.720,980
2024-01-15 09:52:00,155.720,155.740,155.705,155.730,900
2024-01-15 09:53:00,155.730,155.750,155.715,155.740,850
2024-01-15 09:54:00,155.740,155.760,155.725,155.750,800
2024-01-15 09:55:00,155.750,155.765,155.735,155.755,880
2024-01-15 09:56:00,155.755,155.770,155.740,155.760,920
2024-01-15 09:57:00,155.760,155.775,155.745,155.765,950
2024-01-15 09:58:00,155.765,155.780,155.750,155.770,980
2024-01-15 09:59:00,155.770,155.790,155.755,155.780,1050
